City,Region,Country
Montreal,Quebec,Canada
New Brunswick,,Canada
Quebec City,Quebec,Canada
Toronto,Ontario,Canada
Vancouver,British Columbia,Canada
Victoria,British Columbia,Canada
Winnipeg,Manitoba,Canada
Asheville,North Carolina,Canada
Austin,Texas,Canada
Boston,Massachusetts,Canada
Bozeman,Montana,Canada
Broward County,Florida,Canada
Cambridge,Massachusetts,Canada
Chicago,Illinois,Canada
"Clark County, NV",Nevada,Canada
Columbus,Ohio,Canada
Dallas,Texas,Canada
Denver,Colorado,Canada
Fort Worth,Texas,Canada
Hawaii,,Canada
Jersey City,New Jersey,Canada
Los Angeles,California,Canada
Nashville,Tennessee,Canada
New Orleans,Louisiana,Canada
New York City,New York,Canada
Newark,New Jersey,Canada
Oakland,California,Canada
Pacific Grove,California,Canada
Portland,Oregon,Canada
Rhode Island,,Canada
"Salem, OR",Oregon,Canada
San Diego,California,Canada
San Francisco,California,Canada
San Mateo County,California,Canada
Santa Clara County,California,Canada
Santa Cruz County,California,Canada
Seattle,Washington,Canada
Twin Cities MSA,Minnesota,Canada
"Washington, D.C.",District of Columbia,Canada
Vienna,,Canada
Antwerp,Flemish Region,Canada
Brussels,,Canada
Ghent,Flemish Region,Canada
Prague,,Canada
Copenhagen,Hovedstaden,Canada
Bordeaux,Nouvelle-Aquitaine,Canada
Lyon,Auvergne-Rhone-Alpes,Canada
Paris,Ãle-de-France,Canada
Pays Basque,PyrÃ©nÃ©es-Atlantiques,Canada
Berlin,,Canada
Munich,Bavaria,Canada
Athens,Attica,Canada
Crete,,Canada
South Aegean,,Canada
Thessaloniki,Central Macedonia,Canada
Dublin,Leinster,Canada
Bergamo,Lombardia,Canada
Bologna,Emilia-Romagna,Canada
Florence,Toscana,Canada
Milan,Lombardy,Canada
Naples,Campania,Canada
Puglia,,Canada
Rome,Lazio,Canada
Sicily,Sicilia,Canada
Trentino,,Canada
Venice,Veneto,Canada
Riga,,Canada
Oslo,,Canada
Lisbon,,Canada
Porto,Norte,Canada
Barcelona,Catalonia,Canada
Euskadi,,Canada
Girona,Catalonia,Canada
Madrid,Comunidad de,Canada
Malaga,AndalucÃ­a,Canada
Mallorca,Islas Baleares,Canada
Menorca,Islas Baleares,Canada
Sevilla,AndalucÃ­a,Canada
Valencia,,Canada
Stockholm,,Canada
Geneva,,Canada
Vaud,,Canada
Zurich,ZÃ¼rich,Canada
Amsterdam,North Holland,Canada
Rotterdam,South Holland,Canada
The Hague,South Holland,Canada
Istanbul,Marmara,Canada
Bristol,England,Canada
Edinburgh,Scotland,Canada
Greater Manchester,England,Canada
London,England,Canada
Cape Town,Western Cape,Canada
Barossa Valley,South Australia,Canada
"Barwon South West, Vic",Victoria,Canada
